club_name,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AFC Bournemouth,,,,,,,,,,,,,,,,,,,,,,4.055,4.82,55.11,40.69,34.3,91.6,54.910000000000004,0.0,12.64,83.1
Arsenal,4.6,1.28,7.18,18.35,6.109999999999999,22.025,15.95,25.400000000000002,56.3,32.685,12.83,27.425,12.48,46.0,15.0,30.95,40.15,12.0,23.0,65.48,56.0,49.25,118.98,26.5,113.0,152.85,80.15,160.8,86.0,167.4,192.36
Aston Villa,3.93,4.25,7.340000000000001,11.067,8.1,10.5,42.8,9.6,21.119999999999997,26.1,9.08,8.379999999999999,10.14,16.54,24.7,24.9,55.9,46.9,37.4,20.335,27.83,19.84,13.45,66.55,85.5,2.8,19.1,159.5,101.35,129.8,100.14
Barnsley,,,,,,6.937,,,,,,,,,0.625,3.84,2.34,2.34,2.71,1.29,0.0,0.5449999999999999,,,2.54,6.385,,6.35,3.0,1.2,
Birmingham City,,,,,,,,,,,15.685,17.1,15.77,8.1,20.43,29.3,3.5,20.05,25.599999999999998,0.57,0.32,0.0,0.0,3.04,10.085,17.65,2.5,10.28,8.34,0.0,0.0
Blackburn Rovers,9.938,11.78,9.75,16.5,0.0,10.125,56.39,,,33.01,7.25,22.345,7.875,9.4,17.98,6.2,11.68,13.28,5.05,20.55,17.38,2.27,3.03,0.0,0.2,,10.200000000000001,6.5,1.81,1.3599999999999999,1.75
Blackpool,,,,,,,,,,,,,,,,0.4,1.413,1.14,5.725,1.73,0.25,0.58,0.0,,,,,,,1.995,0.35
Bolton Wanderers,,,,9.496,,14.209999999999999,,,,3.13,0.0,0.75,1.38,6.199999999999999,17.0,22.35,23.7,12.0,5.395,15.6,3.488,2.13,0.013,0.0,,0.0,0.225,,,,
Bradford City,,,,,,,,2.6870000000000003,6.605,,,,,,,,,,,,,,,,,,,,,,
Brentford,,,,,,,,,,,,,,,,,,,,,,,5.6,10.39,5.1499999999999995,11.32,6.55,34.65,7.3,36.7,51.5
Brighton & Hove Albion,,,,,,,,,,,,,0.0,0.35,,,,,,6.029999999999999,2.1799999999999997,2.0,3.8,13.47,8.75,66.5,87.12,61.74,28.5,75.0,55.730000000000004
Burnley,,,,,,,,,,,,,0.985,1.695,1.625,1.35,4.03,13.540000000000001,6.325,3.025,2.3000000000000003,0.545,12.620000000000001,25.705,45.6,35.739999999999995,33.0,23.85,1.1,49.4,38.2
